"id","title","body","rating","post_time","reviewer_name","read_link","review_system","status","create_time","last_modify_time","product_id"
4,"Я нашла идеальный и прекратила дегустацию, покупаю только этот вариант. Новинка! Энергетический напиток ""Adrenaline Rush Game Fuel"" Вкус имбиря и лайма! Самый натуральный вкус и аромат энергетика из тех, что я пробовала! Почувствуй ""заряд энергии""! #всетыможешь! Игровая энергия - вкус имбиря и лайма поможет немножко взбодрится! (кофеин и витамин B) ʕ•ᴥ•ʔ Один из лучших","Добрый день ☀️ Сегодня хочу рассказать и почти идеальном энергетическом напитке Adrenaline Rush со вкусом лайма и имбиря: Объём жестяной банки 0,449 л. Энергетическая ценность на 100 грамм составляет 42 ккалории. Срок годности 7 месяцев. Цена в нашем магазине на данный момент по акции 95 рублей. Обычная цена около 130 рублей. Состав: Вода, сахар, регулятор кислотности (лимонная кислота, цитрат натрия 3-замещенный), ароматизаторы, кофеин, стабилизаторы (гуммиарабик, эфиры глицерина и смоляных кислот), ниацин, пантотеновая кислота, витамин В6, хинин, консервант бензоат натрия, антиокислитель аскорбиновая кислота, витамин В12. Кофеина не более 30 мг на 100 мл напитка Показать цитату На банке имеется вся необходимая информация и масса рекламы. В составе есть витамины группы В: Ключ ярко зеленого цвета, все стандартно при вскрытии щёлкает и пить энергетик лучше сразу, так как могут выйти газы и он уже будет не таким интересным на вкус. Я бы сказала что он среднегазированный (в нос не бьет). Цвет напитка мутно-прозрачный, как вода с лимоном. Имеет приятный аромат лайма: Пить его приятно, он без таурина и не имеет химозного привкуса. Не провоцирует изжогу и головные боли. Никакого сушняка и неприятного послевкусия. Ну и конечно самое главное преимущество - это бодрость. Мы собирались лечить зубы под наркозом младшему и ему нельзя было пить ночью (он водохлёб, поэтому ночь была бессонной и громкой). На утро я не могла поднять себя кровати и этот энергетик привёл меня в чувство. Действовать он начинает в течении 7-10 минут и заряжает бодростью на целый день. Мне понравилось, что после прекращения действия не возникает чувство «разбитого корыта», действует мягко и очень-очень вкусный. Конечно часто его пить нельзя, я недавно совершила глупость, решила выпит его в обед просто так, потому что вкус понравился... не могла уснуть до 4 утра 🤦🏼♀️. Действительно работает, ставлю ⭐️⭐️⭐️⭐️⭐️ И рекомендую, но только если действительно нужно взбодрится. Благодарю за внимание. Читайте так же отзывы на другие энергетики: 1.Burn original; 2.Gorilla energy; 3.nature rush со вкусом малины и мяты; 4.Бодрящие конфеты «чёрный кофе».",5.00,1570414631,mamylia2x,https://irecommend.ru/content/ya-nashla-idealnyi-i-prekratila-degustatsiyu-pokupayu-tolko-etot-variant,irecommend,A,1583236441235,1583236441279,1
6,"Один из лучших Невероятно ужаснейший напиток Имбиря и лайма не ждите, но взамен есть яблочная шипучка Я нашла идеальный и прекратила дегустацию, покупаю только этот вариант.","Цены на Адреналин непредсказуемы и постоянно варьируются от 50 до 120 рублей. Можно пойти в пятёрочку и купить его за 120 рублей, а потом зайти в Ашан и купить тот же самый Адреналин за 49 рублей. Последний раз я покупал Адреналин в Магните за 74 рубля - на мой взгляд это отличная цена для энергетика ''высшей лиги''. Цвет Есть огромное кол-во лимонадов типа Мохито - если взять вкус этих самых лимонадов, потом убрать сахарную приторность и добавить энергетическую основу Адреналина + кислинку от Лайма, то получится Адреналин Лайм/Имбирь. Запах и цвет так же напоминает лимонады Мохито. Это тот самый энергетик, который можно пить постоянно и он не надоест. Состав По поводу дизайна можно сказать следующее - он очень крутой. Есть несколько разных баночек Адреналина с одним и тем же вкусом и все они отлично выглядят. Производители реально запарились и сделали нормальную картинку, даже зелёную крышечку добавили (на большинстве энергетиков обычная металлическая крышечка). Элемент дизайна Эффективность - средняя. Я попробовал довольно много разных энергетиков и могу сказать, что есть энергетики намного эффективнее, чем Адреналин Лайм/Имбирь. Это один из моих самых любимых энергетических напитков, которому я могу смело поставить 10 из 10. Он вкусный, относительно эффективный, не приторный, не надоедает. PS В начале он мне не понравился, но потом он стал одним из моих любимых энергетиков",5.00,1577965444,Star Whisky,https://irecommend.ru/content/odin-iz-luchshikh-377,irecommend,A,1583236441257,1583236441282,1
3,"Новинка! Энергетический напиток ""Adrenaline Rush Game Fuel"" Вкус имбиря и лайма! Самый натуральный вкус и аромат энергетика из тех, что я пробовала! Почувствуй ""заряд энергии""! #всетыможешь! Я нашла идеальный и прекратила дегустацию, покупаю только этот вариант. Невероятно ужаснейший напиток","Привет всем заглянувшим! Энергетики, пожалуй, моя маленькая слабость. От их употребления отказаться полностью не могу, но все же знаю меру. В последнее время подсела на имбирь, точнее на сочетание вкусов имбиря и лимона (цитрусов). Хотя до этого вообще его не любила и можно даже сказать не понимала, но вкусы со временем меняются. Кстати, заметила, что в последнее время много различных продуктов стали выпускаться с имбирным вкусом: печенье, хлебцы, шоколад, чай и как не странно - энергетические напитки. Поэтому представляю вашему вниманию новинку этой весны - Энергетический напиток ""Adrenaline Rush"" Game Fuel (Игровая энергия) вкус имбиря и лайма! Серия ""Game Fuel"" создана специально для геймеров, но и тем, кто любит писать отзывы по ночам тоже вполне подойдет)). Adrenaline Game Fuel – это напиток с комплексом эффективных тонизирующих ингредиентов. Витамины группы В, входящие в состав продукта, снижают усталость и утомляемость и необходимы для нормального функционирования нервной системы и умственной деятельности. А это так важно во время самых напряженных и продолжительных игровых турниров! Во время активных онлайн-соревнований необходимо быть собранным и быстро принимать решения, именно поэтому потребность в дополнительной энергии у геймеров особенно высока. Adrenaline Game Fuel не содержит искусственных ароматизаторов и красителей, а наличие тонизирующих ингредиентов и «быстрых» углеводов помогает восполнить запас жизненных сил. Показать цитату Я не буду писать о том, что энергетики это вредно, потому что каждый сам решает, что ему есть и пить. Главное все же, всему знать меру. Место покупки - гипермаркет ""Лента"" Цена - 80 руб. по акции (полная стоимость порядка 120-130 руб.) Объем - 0,5 л Состав и пищевая ценность: Дизайн банки напоминает мне уже знакомый вкус ""Адреналина"" - ""Nature"", такая же зеленая алюминиевая баночка, напоминающая что-то ""сочное"", натуральное, только уже без двух ящерок на лицевой стороне. Кстати, дизайн банок в целом обновили и ящерка теперь вписалась в сам логотип ""A"", ее даже не сразу заметишь, но как мне кажется, выглядит классно, стильно, по современному. С обратной стороны есть вся необходимая информация, а также состав. На дне банки указана дата изготовления и срок годности. Открывается банка при помощи стандартного ""ключа"" (язычка). При открытии банки сразу вырывается яркий и сочный запах имбиря и лайма. Сочетание очень приятное, поначалу слышится именно имбирь, а после появляется сочный и кисленький лайм. Никакой ""химозности"" в аромате не почувствовала, пожалуй, это самый натуральный вкус и аромат у энергетического напитка, среди тех, что я пробовала. Напиток прозрачный, мутновато-белесого цвета, напоминает свежевыжатый сок лайма. Вкус - по вкусу самый настоящий имбирь в сочетании с цитрусами, а именно с сочным лаймом. Мне он напоминает зелёный чай с имбирем и лимоном, только понятно, что это не чай, а энергетик и он имеет свой необычный и неповторимый вкус, который не сравнится ни с лимонадом, ни с другими напитками. Как я уже написала выше, это самый натуральный вкус энергетика из тех, что я пробовала и самый вкусный! Он оказался даже вкуснее моего любимого ""Adrenaline Nature"", который я любила больше всего. Напиток легко пьется, среднегазирован, не вяжет. Имеет легкий и приятный, сочный вкус с легкой кислинкой. Прекрасно освежает. Особенно будет актуален в охлажденном виде в жаркую погоду. Например, ягодный или классический ""Адреналин"" имеют более тяжелый и сладкий вкус, здесь же отсылка к ""Адреналину"" ""Nature"". Эффект - действительно хорошо бодрит и придает энергии. Понятно, что энергетические напитки расходуют и вырабатывают запасную энергию организма и что потом усталость и сонливость все равно вернуться, в усиленной форме, но иногда такие ""заряды энергии"" просто необходимы. Например, в дальней дороге, чтобы не уснуть за рулем или когда была бессонная ночь, а с утра на работу и там нужно как-то продержаться целый день. Выпила энергетик я в семь часов вечера, сейчас час ночи, а я пишу отзывы и спать совсем не хочется). Всем кто любит имбирь рекомендую попробовать! Конечно же, если вы пьете энергетические напитки, ну или хотя бы не против попробовать. Сама же теперь буду покупать только его. Конечно же, в умеренных количествах. Каждый день энергетики я не пью, чаще всего я покупаю баночку при походе в кино, вместо обычной газировки. Всем спасибо за внимание! А также читайте остальные мои отзывы на энергетические напитки: Энергетический напиток S.O.V.A ""Оригинальный"" Энергетический напиток S.O.V.A ""Классический"" Энергетический напиток S.O.V.A ""Апельсин"" Энергетический напиток E-ON ""Абрикос и миндаль"" Показать цитату",5.00,1524822774,sova2021,https://irecommend.ru/content/novinka-energeticheskii-napitok-adrenaline-rush-game-fuel-vkus-imbirya-i-laima-samyi-natural,irecommend,A,1583236441232,1583236441277,1
1,"Невероятно ужаснейший напиток Игровая энергия - вкус имбиря и лайма поможет немножко взбодрится! (кофеин и витамин B) ʕ•ᴥ•ʔ Один из лучших Новинка! Энергетический напиток ""Adrenaline Rush Game Fuel"" Вкус имбиря и лайма! Самый натуральный вкус и аромат энергетика из тех, что я пробовала! Почувствуй ""заряд энергии""! #всетыможешь!","В общем-то, поведаю вам небольшую предысторию. Случилось однажды мне заехать зимой на велике в гипермаркет, и тут, когда я уже находился в помещении, рассматривая различные напитки, взгляд мой пал на эту, к слову сказать, немалого размера баночку. Оставался день до экзамена, и мне хотелось, вернувшись домой, иметь прилив сил. Не удержался, купил полулитровую баночку Адреналина. В жизни не пил подобной гадости, но в тот момент я полагал, что этот напиток мне поможет. Выпил, пришёл домой. Накинулась невероятная усталость, а спустя полчаса-час, заболела голова. Пришлось к вечеру выпить таблетку Найза. Боль спала. Итого: день попросту потрачен впустую. Проблем со сном вообще не было. Подытожить что-либо о данном напитке, в общем-то, нечего. Выкинутые деньги, а вместе с ними и самочувствие на полдня. (з.ы. Я спортсмен, каждый день, в любую погоду, я катаюсь на велосипеде и бегаю, никогда не пил, не курил и не тянет, а данный энергетик пробовал в первый и последний раз.)",1.00,1551196914,Immaxat,https://irecommend.ru/content/neveroyatno-uzhasneishii-napitok,irecommend,A,1583236441207,1583236441274,1
2,"Игровая энергия - вкус имбиря и лайма поможет немножко взбодрится! (кофеин и витамин B) ʕ•ᴥ•ʔ Я нашла идеальный и прекратила дегустацию, покупаю только этот вариант. Невероятно ужаснейший напиток","Начну с начала, то есть с состава, в который входит: вода, сахар, регуляторы кислотности, ароматизаторы, кофеин, стабилизаторы, ниацин, пантотеновая кислота, витамин B6, хинин, консервант бензоат натрия, антиокислитель аскорбиновая кислота и витамин B12, что в купе дает замечательный вкус)))))), но слабый эффект подзарядки энергии(даже таурина не добавили жмоты). Koфеина не более 30 мг на 100 мл напитка. Маловато компонентов, в отличие от других собратьев Адреналина Раш(например женьшень,гуарана). Покупала за 69 руб по акции, в некоторых магазинах 79 и выше, без акции в районе 110-120 руб за шт. Мне нравится, потому что я обожаю вкус имбиря и лайма, имбирь я и так постоянно в чай кладу или просто так жую)) кисленький, цитрусовый, вкусный=)) , А вот послевкусие, конкретно мне не нравится. Цвет прозрачно-мутный,белый. Очень газированный. И очень неплохо в целом! Особенно вкус, который больше понравится девушкам я думаю, как энергетик слабенький, да я больше из-за вкуса покупала, уж очень мне зашел, и вызывает привыкание, после еще раз 6 купила, будьте аккуратнее ◉◡◉ Что еще заметила, с каждым разом эффект подзарядки ослаблялся, бодрило с каждым разом меньше, а то и вовсе не бодрило. Пейте, но в меру, и лучше раз в год, на новый год! (◕‿◕) Я сильно ограничиваю себя в таких вещах, но иногда мимо скидок не могу пройти, если бы не 69 руб, и не попробовала бы и не купила столько банок)) С тех пор не покупала, перепила))) Кстати, у меня почему-то ГОРЧИЛО в конце, если всю банку пила!, не знаю с чем это связано((, но вкус горечи появлялся и всё тут ¯\_(ツ)_/¯ Может у кого-то тоже горчило в конце и я не одна такая?",4.00,1551280907,KasuLa,https://irecommend.ru/content/igrovaya-energiya-vkus-imbirya-i-laima-pomozhet-nemnozhko-vzbodritsya-kofein-i-vitamin-b,irecommend,A,1583236441222,1583236441276,1
5,"Имбиря и лайма не ждите, но взамен есть яблочная шипучка Один из лучших","Особая серия бренда Adrenaline - Game Fuel, заточенная (в плане пиара) на геймеров и пытающаяся родить новые вкусовые ощущения, отойдя от классики жанра. Запах у вариации ""Имбирь+лайм"" похож на яблочное монпансье, сладкий и пузыристый. Вкус тоже близок к яблоку и имеет травянистые кислые нотки. Сладость - как раз в меру. Да, существуют и другие энергетики с яблочным вкусом, но это - другое. Рецептура нетривиальная и явно осмыслена с нуля. А вот расстраивает только лишь то, что ни имбиря, ни лайма я тут не чувствую, хоть ты тресни. То есть всё вкусно, но ожидания не оправданы. Трудно описать этот напиток точно, но уверяю, что он необычный и что как раз по причине этой невыразимости вам стоит его опробовать. Это отличается от всего остального на рынке энергетических напитков. Стоимость - от 80 рублей, и если сможете найти по такой приемлемой цене, то рекомендую взять.",4.00,1580144877,Negod Lagren,https://irecommend.ru/content/imbirya-i-laima-ne-zhdite-no-vzamen-est-yablochnaya-shipuchka,irecommend,A,1583236441245,1583236441281,1
9,"Отлично бодрит! Жаль, пока не везде продается Бодрит на отлично! Куча красителей, но зато красивый цвет. В каких магазинах можно найти и по какой цене Виноградная газировка без эффекта бодрости))) Энергетик Genesis Purple star бодрит не по детски!","Всем привет! Хотела написать отзыв про очень крутой энергетик, который недавно попробовала и очень удивилась не увидев здесь ни одного отзыва о нём! В энергетиках для меня главным является то, чтобы они заряжали бодростью на несколько часов и были приятными на вкус. Давно работаю в IT сфере, команда большая, проектов куча, часто сидим допоздна, и отсюда недосыпы соответственно. Каждый спасается от этого по разному, в основном это конечно же кофе. Но так сложилось что вкус его меня не особо радует.Да и надоело уже одно и то же Со временем перешла на энергетики, в основном те что продаются везде, но как-то не тот эффект был, чего-то не хватало. И тут наткнулась в магазинчике на энергетик Genesys. Обычная его цена за баночку 500мл составляет около 70-80 рублей. С обратной стороны можно подробнее узнать о данном напитке. В банке на 500 мл содержится около 300 калл. Состав: вода очищенная, глюкозно-фруктозный сироп и сахар, регуляторы кислотности: Е330, Е331; натуральные ароматизаторы: таурин, кофеин натуральный; консервант бензоат натрия, витаминная смесь (витамины С, В1, В3, В6, В9, В12), красители: кармуазин, зеленый S ВКУС И ВНЕШНИЙ ВИД С виду напиток выглядит как обычная газировка, пахнет очень приятно и чем-то сладким, нет этой дикой кислотности как у других. Их два вида и оба реально вкусные, 1 банка с фиолетовым космосом, а другая с рыжим. Я взяла попробовать фиолетовый и он прямо хорошо так зашёл.Очень необычный вкус, немного терпкий, нет этой безумной приторности как обычно Эффект По правде говоря, не думала, что будет хоть какой-то эффект. Учитывая сколько я кофе пью обычно. Но он на меня прямо быстро подействовал, я как-то сразу стала бодрее,собраннее и меня хватило на целую ночь и еще на следующий день после одной банки. Сейчас сравниваю с другими, пока он лучше всех для меня работает. Да и стоит не очень дорого. Вот только искать приходится долго, потому что в сетевиках, типа Пятёрочки, его обычно нет( В целом, если иногда балуетесь такими напитками рекомендую попробовать!",5.00,1539962547,kira_malinina_89,https://irecommend.ru/content/otlichno-bodrit-zhal-poka-ne-vezde-prodaetsya,irecommend,A,1583303758881,1583303758923,3
7,"Бодрящая кислятина по низкой цене. Вроде напиток не так уж плох, но больше покупать я не буду. Крепыш среди бюджетных энергетиков","Добрый день, дорогой читатель. Энергетические напитки давно вошли в нашу жизнь и выходить из неё не собираются. С одной стороны, такая ""водица"" безусловно вредна. С другой, есть люди работающие по ночам, для которых раньше из бодрящих средств существовал только кофе. А хлестать чашку за чашкой или делать крепчайший чай, примерно также вредно, как и выхлебывать несколько банок энергетов за ночь. Я как раз тот самый человек, который не всегда может поспать во время смены на работе, и я всегда предпочту энергетик, различным чаям-кофеям. В этом отзыве речь пойдёт о напитке, который появился давно, считается очень популярным, а вот я пробую его впервые. Итак: Энергетический напиток ""ООО ПепсиКо"" ""Drive me"" оригинал Как всегда немного полезной информации. Страна-производитель: Россия, Объем: 0,45 Направление продукта: напиток, газированной напиток, энергетические напиток. Цена: 39-65р, сейчас в сети магазинов ""Магнит"" на него скидка, стоит он 39р. Где купить: ""Магнит"", ""Пятерочка"", ""Лента"" . Упаковка, дизайн, функционал. Энергетический напиток ""ООО ПепсиКо"" ""Drive me"" оригинал Напиток находится в алюминиевой банке. Оформление газировки приятное-интересное. Из-за присутствия серебристого цвета, очень трудно запечатлеть надписи на ней. На обратной стороне тары расположена полезная информация о составе, сроках годности (один год), есть рассказ о том, как энергетик действует. открывашка Открыть банку стандартно-просто. Я люблю напитки в алюминиевых банках, такая ёмкость кажется мне оптимальной для хранения. Я не вижу причин ""цедить"" и дегустировать энергетические напитки. Они существуют для того, что бы быстро стряхнуть оковы усталости. Поэтому птю целую банку и сразу. Запах, цвет, консистенция. газ Напиток имеет бледно-жёлтый цвет, похожий на цвет яблочного сока. Пахнет химическим таким яблоком, точнее, яблочной патокой. Энергетический напиток ""ООО ПепсиКо"" ""Drive me"" оригинал Напиток очень сильно газированный, до такой степени, что это скорее всего станет причиной почему я его больше никогда не куплю. Газ прямо ""шибает"" в нос, давно я не встречала столь газированной жидкости. цвет Вкус напитка похож на яблочный, с одной поправкой - он очень кислый. Просто до жути, до оскомины, как будто жуешь недозрелую антоновку или ешь лимон. Я знаю, что есть люди, которым по душе такая кислятина, но это не я. Напиток такой кислый, что нюансы вкуса, я не могу как следует разобрать. Вроде яблочный, а там, черт его знает. Состав. Состав: вода, сахар, вкусоароматическая основа ""Энергия"" (натуральный кофеин, витаминный премикс (витамин С, ниацин, пантотеновая кислота, витамин В6, фолиевая кислота), краситель (сахарный колер), полученный по аммиачно-сульфитной технологии), газ для насыщения напитков (диоксид углерода), регуляторы кислотности (лимонная кислота, цитрат натрия), таурин, натуральный ароматизатор ""Энергия"". Не содержит искусственных ароматизаторов и консервантов. Показать цитату Видать витамина C в состав ""бахнули"" изрядное количество. Само по себе, это может и неплохо, но если часто пить такую жижу - гастрит гарантирован. В остальном, обычный состав, бюджетного энергета. Описание и обещания производителя. Drive Me – энергетический напиток с натуральным кофеином и витамином С. Ориентирован на молодых людей, ищущих новые формы самовыражения и желающих выйти за рамки повседневной рутины. Показать цитату Что я буду ждать от этого средства. Бодрости в течении 3-4х часов, Неплохого вкуса, Отсутствия побочных действий в виде нераозности и суетливости. Обо мне. Я пью энергетики раз в три-четыре дня, иногда чаще. Знаю, что частое употребление этой жидкости пользы не несёт, но зачастую это самый быстрый и лёгкий способ взбодриться на рабочей смене. Опыт применения. цвет и внешний вид Оказалось, что этот Drive me, весьма популярный напиток, а я и не знала. Мне хватило одного раза, что бы понять, что данную водицу я больше пить не буду. Газировка ну просто очень кислая. Настолько, что я толком не почувствовала вкус, просто кислятина и все. Хотя потенциал у энергетика хороший, пахнет он яблоком и мог бы быть вкусным. Но что-то пошло не так. У напитка есть другие вкусы и ароматы, думаю попробовать и их. Напиток бодрит, неплохо. Кстати, я до сих пор не поняла, это у него состав хороший, или же просто дикая кислятина пробудит от сна любого. Бодрость от напитка продолжается около четырёх часов, суетливости, нераозности эта жидкость не прибавляет. Далее, прилив энергии сменяется апатией, и можно просто лечь поспать. Напиток не вызвал никаких побочных действий, кроме оскомины. В общем и целом. Мне жаль, что с этим ""драйв ми"" у меня не сложилось. У энергетика неплохой потенциал. Он один из самых бодоящих и недорогих. Но я не могу пить такую жуткую кислятину. Хотя, я допускаю, что кому-то может нравится именно такой вкус. Подведу небольшие итоги. Энергетический напиток ""ООО ПепсиКо"" ""Drive me"" оригиналЭнергетический напиток ""ООО ПепсиКо"" ""Drive me"" оригинал. Не дорого стоит, Бодрит, Не вызывает суетливости, нервозности и т.д. После 4-5 часов бодрости легко заснуть. Минусы: Очень уж кислый. Вердикт. Четыре звезды и рекомендую только заправским ""кислоежкам"". Знаю, что такие есть!",4.00,1569746337,Анна Вацеховская,https://irecommend.ru/content/bodryashchaya-kislyatina-po-nizkoi-tsene-vrode-napitok-ne-tak-uzh-plokh-no-bolshe-pokupat-ya,irecommend,A,1583241655657,1583241655694,2
8,"Крепыш среди бюджетных энергетиков Бодрящая кислятина по низкой цене. Вроде напиток не так уж плох, но больше покупать я не буду.","Запах - обычный для энергетиков, химическо-сладкий. Но в случае Drive Me он очень сладкий и концентрированный. Цвет тоже стандартный: янтарно-золотистый. Вкус похож на Red Bull, но явно более бюджетный. Снова ощущается переизбыток сладости. А вот кислинка почти не проступает. Пузырьков тоже крайне мало. Всё просто и без изысков. Впрочем, зная цену (40-60 рублей), всё встаёт на свои места. Среди бюджетных энергетических напитков Drive Me даже хорош: претензий к его вкусу и качеству у меня не возникло, а излишних ожиданий всё равно не было. Это хороший выбор для тех, кто хочет просто попить обыкновенного энергетика, не тратя много денег. Тем не менее, советую сначала опробовать хотя бы Red Bull - дабы понимать, что первично, а что вторично.",3.00,1580112660,Negod Lagren,https://irecommend.ru/content/krepysh-sredi-byudzhetnykh-energetikov,irecommend,A,1583241655670,1583241655695,2
31,"✤ Бодрящий лимонадик от СОВЫ ✤ Заряд энергии на весь день или нет? ✤ Вкусовые ассоциации ✤ Помогатор! Как взбодриться со вкусом? Симпатяжка С.О.В.А на страже ночи. Она подскажет, как не клюнуть носом в ответственный момент ЯГУАР, это ты?) НЕТ, я S.O.V.A! ЭНЕРГЕТИК со вкусом, который знаком многим ) А стоит ли? Почему я, не признающая энергетиков все же решила попробовать?","Всем привет! Не могу назвать себя любителем энергетических напитков, но попробовав красную СОВУ, решила купить и все остальные вкусы, а всего их четыре. К тому же, сейчас у нас самый разгар ремонта и переезд, а сил на всё катастрофически не хватает, тут и придет на помощь бодрящий напиток. ✦ Описание ✦ S.O.V.A. – вкусный и позитивный энергетический напиток, который позволяет тебе мгновенно взбодриться и смотреть на мир с широко раскрытыми глазами, наполняет тебя энергией и заряжает отличным настроением. Показать цитату ✦ Упаковка ✦ Банка с энергетиком привлекает внимание на полочке магазина своим ярким оригинальным оформлением, её заметно издалека. Неспящие совы, изображенные на банках выглядят броско броско, не замеченными такие баночки точно не останутся! Голубая ""Натуральная"" S.O.V.A. отличается от остальных внешним видом совы, изображенной на банке, вообще, все четыре птицы разные, самые большие глаза у синей, а у этой узкие зрачки )). Упаковка стандартная для подобных газированных напитков - высокая жестяная банка, открывающаяся специальным ключом: На дне банки указана дата изготовления и срок годности, вся остальная информация находится на видном месте: ✦ Состав ✦ В составе есть витамины В6, В12, С и фолиевая кислота. Бодрящий эффект дают кофеин и таурин. Состав мне показался не самым плохим, у других энергетиков намного хуже, но всё же подобные газированные напитки не рекомендую пить на пустой желудок. Энергетическая ценность: 2о0 кДж (50 ккал), углеводы - 11,0 г Содержание кофеина в 100 мл напитка не более 30 мг Производитель не рекомендует употреблять больше одной банки в день, так что увлекаться не стои. ✦ Производитель: АО ""Дека"", Великий Новгород. ✦ Объем: 500 мл. ✦ Цена: обычная цена 79,90 руб., я брала по акции в ""Дикси"" 2 по цене1. ✦ Где купить: я покупала в магазине ""Дикси"", знаю, что есть также в ""Пятерочке"" и ""Ленте"". ✦ Срок годности: 1 год в закрытой банке. ✦ Вкус/Цвет ✦ Напиток слабогазированный и это очень мне нравится, на вид и запах, один в один лимонад ""Дюшес"", а вот вкус напомнил давно забытый ""Ягуар"", к которому я не питаю никакой любви и привязанности. Слишком сладкий и неприятный вкус, из-за которого я не смогла допить банку до конца, осилив лишь половину. В отличие от красной вкусненькой СОВЫ, голубые баночки покупать повторно желания нет. Этот напиток отличается от энергетиков других производителей степенью газированности - он не сильногазированный, более мягкий, поэтому пьется намного легче. Действие энергетика меня тоже разочаровало - эта разновидность СОВЫ меня совсем не взбодрила, из всех четырех она оказалась самой бесполезной и невкусной( ✦ Мои впечатления ✦ Напиток в голубой банке оказался сплошным разочарованием, конечно, баночка красивая и цена не самая дорогая, в отличие от конкурентов, но заявленное бодрящее действие отсутствует и вкус совершенно ""не мой"" - голубую S.O.V.A. Natural рекомендовать не буду. Заходите ко мне, подписывайтесь, чтобы не пропустить новые отзывы и читайте о косметике и не только ). ~~~~~~~Спасибо, что заглянули! Надеюсь, мой отзыв был Вам полезен и интересен!~~~~~~~~~",3.00,1513159168,Kitykat,https://irecommend.ru/content/bodryashchii-limonadik-ot-sovy-zaryad-energii-na-ves-den-ili-net-vkusovye-assotsiatsii,irecommend,A,1583306954502,1583306954584,5
